Date,Time,Date_Time,Elapsed_Time  ,Depth_ft          ,Temperature_C    ,Pressure _PSI            
6/17/2010,15:00,6/17/2010 15:00,0,0.209,8.094,0.091
6/17/2010,16:00,6/17/2010 16:00,3600,0.199,8.102,0.086
6/17/2010,17:00,6/17/2010 17:00,7200,0.264,8.099,0.114
6/17/2010,18:00,6/17/2010 18:00,10800,0.92,8.066,0.399
6/17/2010,19:00,6/17/2010 19:00,14400,1.367,8.057,0.592
6/17/2010,20:00,6/17/2010 20:00,18000,1.713,8.055,0.742
6/17/2010,21:00,6/17/2010 21:00,21600,1.914,8.05,0.829
6/17/2010,22:00,6/17/2010 22:00,25200,2.088,8.036,0.904
6/17/2010,23:00,6/17/2010 23:00,28800,2.157,8.024,0.934
6/18/2010,0:00,6/18/2010 0:00,32400,2.209,8.012,0.957
6/18/2010,1:00,6/18/2010 1:00,36000,2.22,8.013,0.961
6/18/2010,2:00,6/18/2010 2:00,39600,2.217,8.002,0.96
6/18/2010,3:00,6/18/2010 3:00,43200,2.232,7.998,0.967
6/18/2010,4:00,6/18/2010 4:00,46800,2.237,7.997,0.969
6/18/2010,5:00,6/18/2010 5:00,50400,2.213,7.994,0.959
6/18/2010,6:00,6/18/2010 6:00,54000,2.162,7.997,0.936
6/18/2010,7:00,6/18/2010 7:00,57600,1.744,8.039,0.755
6/18/2010,8:00,6/18/2010 8:00,61200,1.272,8.05,0.551
6/18/2010,9:00,6/18/2010 9:00,64800,0.608,8.056,0.263
6/18/2010,10:00,6/18/2010 10:00,68400,0.37,8.066,0.16
6/18/2010,11:00,6/18/2010 11:00,72000,0.292,8.071,0.126
6/18/2010,12:00,6/18/2010 12:00,75600,0.156,8.078,0.067
6/18/2010,13:00,6/18/2010 13:00,79200,-0.008,8.093,-0.003
6/18/2010,14:00,6/18/2010 14:00,82800,-0.173,8.106,-0.075
6/18/2010,15:00,6/18/2010 15:00,86400,-0.269,8.109,-0.116
6/18/2010,16:00,6/18/2010 16:00,90000,-0.244,8.108,-0.106
6/18/2010,17:00,6/18/2010 17:00,93600,-0.262,8.099,-0.113
6/18/2010,18:00,6/18/2010 18:00,97200,0.574,8.074,0.248
6/18/2010,19:00,6/18/2010 19:00,100800,0.842,8.066,0.365
6/18/2010,20:00,6/18/2010 20:00,104400,1.213,8.06,0.525
6/18/2010,21:00,6/18/2010 21:00,108000,1.43,8.057,0.619
6/18/2010,22:00,6/18/2010 22:00,111600,1.557,8.055,0.675
6/18/2010,23:00,6/18/2010 23:00,115200,1.66,8.049,0.719
6/19/2010,0:00,6/19/2010 0:00,118800,1.708,8.037,0.74
6/19/2010,1:00,6/19/2010 1:00,122400,1.812,8.031,0.785
6/19/2010,2:00,6/19/2010 2:00,126000,1.861,8.023,0.806
6/19/2010,3:00,6/19/2010 3:00,129600,1.874,8.02,0.812
