Date,Time,Date_Time,Elapsed_Time  ,Depth_ft          ,Temperature_C    ,Pressure _PSI            
10/24/2015,10:15,10/24/2015 10:15,0,0.577,4.3,0.343
10/24/2015,10:30,10/24/2015 10:30,900.001,0.569,4.475,0.339
10/24/2015,10:45,10/24/2015 10:45,1800,0.569,4.691,0.339
10/24/2015,11:00,10/24/2015 11:00,2700,0.566,4.907,0.338
10/24/2015,11:15,10/24/2015 11:15,3600,0.564,5.143,0.337
10/24/2015,11:30,10/24/2015 11:30,4500.001,0.552,5.372,0.332
10/24/2015,11:45,10/24/2015 11:45,5400,0.55,5.586,0.331
10/24/2015,12:00,10/24/2015 12:00,6300,0.555,5.751,0.333
10/24/2015,12:15,10/24/2015 12:15,7200,0.553,5.886,0.332
10/24/2015,12:30,10/24/2015 12:30,8100.001,0.546,6.06,0.329
10/24/2015,12:45,10/24/2015 12:45,9000,0.542,6.342,0.327
10/24/2015,13:00,10/24/2015 13:00,9900,0.54,6.648,0.327
10/24/2015,13:15,10/24/2015 13:15,10800,0.535,7.01,0.324
10/24/2015,13:30,10/24/2015 13:30,11700.001,0.53,7.364,0.322
10/24/2015,13:45,10/24/2015 13:45,12600,0.53,7.627,0.322
10/24/2015,14:00,10/24/2015 14:00,13500,0.528,7.84,0.321
10/24/2015,14:15,10/24/2015 14:15,14400,0.522,8.014,0.319
10/24/2015,14:30,10/24/2015 14:30,15300.001,0.522,8.141,0.319
10/24/2015,14:45,10/24/2015 14:45,16200,0.52,8.238,0.318
10/24/2015,15:00,10/24/2015 15:00,17100,0.519,8.307,0.317
10/24/2015,15:15,10/24/2015 15:15,18000,0.516,8.387,0.316
10/24/2015,15:30,10/24/2015 15:30,18900.001,0.518,8.428,0.317
10/24/2015,15:45,10/24/2015 15:45,19800,0.516,8.468,0.316
10/24/2015,16:00,10/24/2015 16:00,20700,0.512,8.473,0.314
10/24/2015,16:15,10/24/2015 16:15,21600,0.512,8.479,0.315
10/24/2015,16:30,10/24/2015 16:30,22500.001,0.513,8.469,0.315
10/24/2015,16:45,10/24/2015 16:45,23400,0.514,8.417,0.315
10/24/2015,17:00,10/24/2015 17:00,24300,0.516,8.337,0.316
10/24/2015,17:15,10/24/2015 17:15,25200,0.518,8.227,0.317
10/24/2015,17:30,10/24/2015 17:30,26100.001,0.519,8.099,0.317
10/24/2015,17:45,10/24/2015 17:45,27000,0.523,7.949,0.319
10/24/2015,18:00,10/24/2015 18:00,27900,0.525,7.749,0.32
10/24/2015,18:15,10/24/2015 18:15,28800,0.529,7.513,0.322
10/24/2015,18:30,10/24/2015 18:30,29700.001,0.535,7.268,0.324
10/24/2015,18:45,10/24/2015 18:45,30600,0.535,7.01,0.324
10/24/2015,19:00,10/24/2015 19:00,31500,0.542,6.758,0.327
10/24/2015,19:15,10/24/2015 19:15,32400,0.545,6.506,0.329
10/24/2015,19:30,10/24/2015 19:30,33300.001,0.548,6.27,0.33
10/24/2015,19:45,10/24/2015 19:45,34200,0.552,6.027,0.332
10/24/2015,20:00,10/24/2015 20:00,35100,0.555,5.826,0.333
10/24/2015,20:15,10/24/2015 20:15,36000,0.558,5.628,0.334
10/24/2015,20:30,10/24/2015 20:30,36900.001,0.56,5.427,0.335
10/24/2015,20:45,10/24/2015 20:45,37800,0.561,5.209,0.336
10/24/2015,21:00,10/24/2015 21:00,38700,0.566,5.032,0.338
10/24/2015,21:15,10/24/2015 21:15,39600,0.559,4.875,0.335
10/24/2015,21:30,10/24/2015 21:30,40500.001,0.56,4.704,0.335
10/24/2015,21:45,10/24/2015 21:45,41400,0.566,4.573,0.338
10/24/2015,22:00,10/24/2015 22:00,42300,0.564,4.452,0.337
10/24/2015,22:15,10/24/2015 22:15,43200,0.566,4.316,0.338
10/24/2015,22:30,10/24/2015 22:30,44100.001,0.569,4.19,0.339
10/24/2015,22:45,10/24/2015 22:45,45000,0.575,4.043,0.342
10/24/2015,23:00,10/24/2015 23:00,45900,0.575,3.921,0.342
10/24/2015,23:15,10/24/2015 23:15,46800,0.576,3.81,0.342
10/24/2015,23:30,10/24/2015 23:30,47700.001,0.578,3.729,0.343
10/24/2015,23:45,10/24/2015 23:45,48600,0.577,3.668,0.343
10/25/2015,0:00,10/25/2015 0:00,49500,0.578,3.631,0.343
10/25/2015,0:15,10/25/2015 0:15,50400,0.579,3.578,0.343
10/25/2015,0:30,10/25/2015 0:30,51300.001,0.583,3.506,0.345
