Date,High_F,Low_F,Precip_in,Snow_in,Snow depth_in
6/1/2012,75,41,0,0,0
6/2/2012,87.1,52,0,0,0
6/3/2012,80.1,45,0,0,0
6/4/2012,81,46,0,0,0
6/5/2012,80.1,45,0,0,0
6/6/2012,75.9,50,0,0,0
6/7/2012,79,37.9,0,0,0
6/8/2012,80.1,48.9,0,0,0
6/9/2012,81,54,0,0,0
6/10/2012,78.1,42.1,0,0,0
6/11/2012,78.1,42.1,0,0,0
6/12/2012,80.1,46,0,0,0
6/13/2012,84.9,41,0,0,0
6/14/2012,82,43,0,0,0
6/15/2012,81,48,0,0,0
6/16/2012,78.1,37.9,0,0,0
6/17/2012,82.9,52,0,0,0
6/18/2012,87.1,50,0,0,0
6/19/2012,87.1,52,0,0,0
6/20/2012,84,48,0,0,0
6/21/2012,91.9,48,0,0,0
6/22/2012,88,54,0,0,0
6/23/2012,87.1,60.1,0,0,0
6/24/2012,87.1,54,0,0,0
6/25/2012,88,55.9,0,0,0
6/26/2012,84.9,55,0,0,0
6/27/2012,86,55,0,0,0
6/28/2012,86,52,0.03,0,0
6/29/2012,89.1,52,0,0,0
6/30/2012,-,-,0,0,0
7/1/2012,89.1,55.9,0,0,0
7/2/2012,87.1,64,0,0,0
7/3/2012,88,62.1,T,0,0
7/4/2012,82,62.1,0,0,0
7/5/2012,73,55.9,0,0,0
7/6/2012,80.1,57,0,0,0
7/7/2012,82,57.9,0,0,0
7/8/2012,84.9,64,0,0,0
7/9/2012,86,64,0,0,0
7/10/2012,89.1,48.9,0.12,0,0
7/11/2012,89.1,57.9,0,0,0
7/12/2012,86,59,0,0,0
7/13/2012,79,55,0.38,0,0
7/14/2012,80.1,57,0,0,0
7/15/2012,69.1,52,0,0,0
7/16/2012,78.1,50,-,0,0
7/17/2012,78.1,48,0,0,0
7/18/2012,78.1,50,0,0,0
7/19/2012,82,55,0,0,0
7/20/2012,80.1,52,0,0,0
7/21/2012,81,52,-,0,0
7/22/2012,79,51.1,-,0,0
7/23/2012,82,57,-,0,0
7/24/2012,75,55,1.17,0,0
7/25/2012,69.1,55.9,0.22,0,0
7/26/2012,78.1,60.1,0,0,0
7/27/2012,82,57,T,0,0
7/28/2012,82,60.1,0,0,0
7/29/2012,80.1,57,-,0,0
7/30/2012,78.1,57,-,0,0
7/31/2012,78.1,57,0,0,0
8/1/2012,79,50,0.37,0,0
8/2/2012,79,51.1,0,0,0
8/3/2012,81,54,0,0,0
8/4/2012,82.9,51.1,0,0,0
8/5/2012,80.1,53.1,0,0,0
8/6/2012,80.1,53.1,0,0,0
8/7/2012,81,54,0.5,0,0
8/8/2012,82.9,51.1,T,0,0
8/9/2012,89.1,54,T,0,0
8/10/2012,88,52,0,0,0
8/11/2012,88,53.1,0,0,0
8/12/2012,84.9,52,0,0,0
8/13/2012,84,50,-,0,0
8/14/2012,87.1,55.9,0,0,0
8/15/2012,86,60.1,T,0,0
8/16/2012,82.9,59,0.02,0,0
8/17/2012,82,55.9,1.26,0,0
8/18/2012,75.9,57.9,0,0,0
8/19/2012,80.1,52,0,0,0
8/20/2012,81,55,0.52,0,0
8/21/2012,79,61,0.06,0,0
8/22/2012,80.1,54,0.25,0,0
8/23/2012,73.9,54,0.75,0,0
8/24/2012,73,54,0.28,0,0
8/25/2012,73.9,51.1,0,0,0
8/26/2012,79,52,0,0,0
8/27/2012,75,55,-,0,0
8/28/2012,81,52,T,0,0
8/29/2012,82.9,55,0,0,0
8/30/2012,80.1,52,0,0,0
8/31/2012,80.1,54,0,0,0
